tweet_id,timestamp,source,rating_numerator,rating_denominator,jpg_url,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,retweet_counts,favorite_counts,dog_stage
668190681446379520,2015-11-21 22:14:07,Twitter for iPhone,12,10,https://pbs.twimg.com/media/CUXj4SgXAAETlu6.jpg,Blenheim_spaniel,0.958402,True,cocker_spaniel,0.0267643,True,Welsh_springer_spaniel,0.00778991,True,171,576,
668171859951755264,2015-11-21 20:59:20,Twitter for iPhone,7,10,https://pbs.twimg.com/media/CUXSwy8W4AA6uet.jpg,Chihuahua,0.664834,True,cowboy_boot,0.060343,False,giant_panda,0.0598375,False,162,424,
668113020489474048,2015-11-21 17:05:31,Twitter for iPhone,6,10,https://pbs.twimg.com/media/CUWdPsqWcAERQVv.jpg,Pembroke,0.548896,True,Cardigan,0.191101,True,collie,0.0598141,True,207,580,
667924896115245057,2015-11-21 04:37:59,Twitter for iPhone,9,10,https://pbs.twimg.com/media/CUTyJpHWcAATl0O.jpg,Labrador_retriever,0.209051,True,hog,0.20398,False,Newfoundland,0.165914,True,95,263,
667902449697558528,2015-11-21 03:08:47,Twitter for iPhone,9,10,https://pbs.twimg.com/media/CUTdvAJXIAAMS4q.jpg,Norwegian_elkhound,0.298881,True,malamute,0.279479,True,Eskimo_dog,0.198428,True,334,755,
667886921285246976,2015-11-21 02:07:05,Twitter for iPhone,11,10,https://pbs.twimg.com/media/CUTPnPCW4AI7R0y.jpg,Pomeranian,0.8004319999999999,True,Pekinese,0.168445,True,Chihuahua,0.00894952,True,906,1644,
667885044254572545,2015-11-21 01:59:37,Twitter for iPhone,10,10,https://pbs.twimg.com/media/CUTN5V4XAAAIa4R.jpg,malamute,0.0885297,True,golden_retriever,0.08749860000000001,True,muzzle,0.0750077,False,398,728,
667861340749471744,2015-11-21 00:25:26,Twitter for iPhone,9,10,https://pbs.twimg.com/media/CUS4WJ-UsAEJj10.jpg,malamute,0.967275,True,Siberian_husky,0.0161675,True,Eskimo_dog,0.0112774,True,69,222,
667832474953625600,2015-11-20 22:30:44,Twitter for iPhone,12,10,https://pbs.twimg.com/media/CUSeGFNW4AAyyHC.jpg,miniature_pinscher,0.2142,True,bath_towel,0.146789,False,Chihuahua,0.104152,True,54,254,
667801013445750784,2015-11-20 20:25:43,Twitter for iPhone,12,10,https://pbs.twimg.com/media/CUSBemVUEAAn-6V.jpg,flat-coated_retriever,0.508392,True,Chesapeake_Bay_retriever,0.262239,True,curly-coated_retriever,0.048919800000000006,True,81,282,
